instrument_id,first_date,last_date,observation_count,global_trading_date_count,coverage_ratio,trading_dates_before_first_observation,trading_dates_after_last_observation,late_start_flag,early_end_flag,fewer_than_252_observations_flag,coverage_below_80pct_flag,review_reason
CBRE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CCI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CCL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CDNS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CEG,2022-01-19,2026-06-04,1098,1109,0.9900811541929666,11,0,False,False,False,False,
CI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CIEN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CMCSA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CME,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CMG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CMI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
COF,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
COHR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
COIN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
COP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
COR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
COST,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CPRT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CRH,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CRM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CRWD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CSCO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CSX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CTAS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CTVA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CVNA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CVS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CVX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
D,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DAL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DASH,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DDOG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DELL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DHI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DHR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DIS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DLR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DTE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DUK,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
DVN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EBAY,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ECL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ED,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ELV,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EME,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EMR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EOG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EQIX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EQT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ETN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ETR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
EXC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
F,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
FANG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
FAST,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
FCX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
FDX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
FITB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
FIX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
FTNT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GEHC,2022-12-15,2026-06-04,869,1109,0.7835888187556357,240,0,True,False,False,True,late_start_possible_ipo_or_missing_history;coverage_below_80pct
GEV,2024-03-27,2026-06-04,549,1109,0.4950405770964833,560,0,True,False,False,True,late_start_possible_ipo_or_missing_history;coverage_below_80pct
GILD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GLW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GOOG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GOOGL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GRMN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
GWW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HAL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HBAN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HCA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HIG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HLT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HON,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HOOD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HPE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HSY,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
HWM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
IBM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ICE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
IDXX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
INTC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
INTU,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
IR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
IRM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ISRG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ITW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
JCI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
JNJ,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
JPM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KDP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KEYS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KKR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KLAC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KMB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KMI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
KVUE,2023-05-04,2026-06-04,774,1109,0.6979260595130748,335,0,True,False,False,True,late_start_possible_ipo_or_missing_history;coverage_below_80pct
LHX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
LIN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
LITE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
LLY,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
LMT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
LOW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
LRCX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
LVS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
LYV,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MAR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MCD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MCHP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MCK,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MCO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MDLZ,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MDT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MET,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
META,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MLM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MMM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MNST,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MPC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MPWR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MRK,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MRSH,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MSCI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MSFT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MSI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MTB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
MU,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NDAQ,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NEE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NEM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NFLX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NKE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NOC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NOW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NRG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NSC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NUE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NVDA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
NXPI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
O,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ODFL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
OKE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ORCL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ORLY,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
OTIS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
OXY,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PANW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PAYX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PCAR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PCG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PEG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PEP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PFE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PGR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PH,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PLD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PLTR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PNC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PRU,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PSA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PSX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PWR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
PYPL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
QCOM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
RCL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
REGN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
RMD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ROK,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ROP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ROST,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
RSG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
RTX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SATS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SBUX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SCHW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SHW,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SLB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SNDK,2025-02-13,2026-06-04,328,1109,0.2957619477006312,781,0,True,False,False,True,late_start_possible_ipo_or_missing_history;coverage_below_80pct
SNPS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SPG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SPGI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SRE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
STT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
STX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SYK,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
SYY,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
T,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TDG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TEL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TER,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TFC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TGT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TJX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TMO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TMUS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TPL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TRGP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TRV,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TSLA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TTWO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
TXN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
UBER,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
UNH,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
UNP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
UPS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
URI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
USB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
V,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
VLO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
VMC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
VRT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
VRTX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
VST,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
VTR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
VZ,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WAB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WBD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WDAY,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WDC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WEC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WELL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WFC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WMB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
WMT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
XEL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
XOM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
XYZ,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
YUM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ZTS,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
